"Language" "Family.x" "OSSameSideSum" "OSSameSideTotal" "OSSameSide" "OFartherThanS" "Model" "Congruence_All" "Congruence_VN" "Congruence_VP" "Congruence_V" "Congruence_VProp" "OSV" "SOV" "SVO" "AUCOptimizedCongruence" "LogOSSameSide" "LogCongruence_VN" "Language2" "Family.y" "Genus" "Family" "Together"
"1" "Afrikaans_2.8" "Germanic" 0 15 0 0.4 537627449 0.754519073114 0.821676553711 0.761207905476 0.811601036855 0.699994394802 1 2 15 0.166666666666667 -23.0258509299405 -0.196408448210153 "Afrikaans" "Germanic" "Indo_European" "Germanic" 0.166666666666667
"2" "Akkadian_2.8" "Semitic" 14 15 0.933333333333333 0 901213508 0.861618769312 0.893599117735 0.376068355391 0.865604813852 0.97540885654 5 7 4 0.75 -0.0689928713798089 -0.11249801843108 "Akkadian" "Semitic" "Afro_Asiatic" "Semitic" 1.68333333333333
"3" "Amharic_2.8" "Semitic" 0 15 0 0.933333333333333 906884695 0.543332456905 0.988505747126 0.589592873116 0.527453981716 0.999988226776 0 11 2 0.846153846153846 -23.0258509299405 -0.011560822300355 "Amharic" "Semitic" "Afro_Asiatic" "Semitic" 0.846153846153846
"4" "Ancient_Greek_2.8" "Greek" 5 15 0.333333333333333 0.333333333333333 329794773 0.509714012455 0.493083666945 0.623591034637 0.511552640853 0.456355747055 0 10 11 0.476190476190476 -1.09861228836811 -0.707076409308139 "Ancient Greek" "Greek" "Indo_European" "Greek" 0.809523809523809
"5" "Arabic_2.8" "Semitic" 0 15 0 0.933333333333333 465921054 0.654840175027 0.789646767633 0.194200578407 0.72541272788 0.817745634982 0 20 1 0.952380952380952 -23.0258509299405 -0.236169562965149 "Arabic" "Semitic" "Afro_Asiatic" "Semitic" 0.952380952380952
"6" "Armenian_2.8" "Armenian" 5 15 0.333333333333333 0.8 833815302 0.565030162013 0.548960769203 0.706202525784 0.568057739087 0.509833453223 6 14 7 0.740740740740741 -1.09861228836811 -0.599728298490365 "Armenian" "Armenian" "Indo_European" "Armenian" 1.07407407407407
"7" "Bambara_2.8" "Mande" 8 15 0.533333333333333 0.533333333333333 950375737 0.99795155399 1 0.999999716893 0.997947341597 0.984366542345 0 8 3 0.727272727272727 -0.628608659234875 1.00000008269037e-10 "Bambara" "Mande" "Niger-Congo" "Mande" 1.26060606060606
"8" "Basque_2.8" "Basque" 3 15 0.2 0.666666666666667 453993323 0.716575677651 0.727388228203 0.834355225481 0.727135287544 0.702587154546 0 17 0 1 -1.6094379119341 -0.318294929811505 "Basque" "Basque" "Basque" "Basque" 1.2
"9" "Belarusian_2.8" "Slavic" 9 16 0.5625 0.8125 945372509 0.37057189916 0.40269225093 0.668978282918 0.36437216753 0.377455654222 0 3 10 0.230769230769231 -0.575364144725784 -0.909582653847738 "Belarusian" "Slavic" "Indo_European" "Slavic" 0.793269230769231
"10" "Breton_2.8" "Celtic" 7 15 0.466666666666667 0.666666666666667 677469114 0.512327045808 0.553838807599 0.436363253538 0.53254704694 0.634783746684 5 8 1 0.928571428571429 -0.76214005183261 -0.590881595404299 "Breton" "Celtic" "Indo_European" "Celtic" 1.3952380952381
"11" "Bulgarian_2.8" "Slavic" 3 15 0.2 0.466666666666667 309377861 0.334927779153 0.295424958155 0.754012599466 0.325394080367 0.322098330316 2 20 2 0.916666666666667 -1.6094379119341 -1.21934042276197 "Bulgarian" "Slavic" "Indo_European" "Slavic" 1.11666666666667
"12" "Buryat_2.8" "Mongolic" 1 15 0.0666666666666667 0.0666666666666667 279179116 0.981935471825 0.984389316395 0.969692975739 0.983063473352 0.986474342737 0 10 3 0.769230769230769 -2.70805019960221 -0.0157338133329459 "Buryat" "Mongolic" "Mongolic" "Mongolic" 0.835897435897436
"13" "Cantonese_2.8" "Sino-Tibetan" 2 15 0.133333333333333 0.866666666666667 487783911 0.0458157003988 0.00158982511924 0.00996694186596 0.00867459394842 4.5454338844e-06 0 6 1 0.857142857142857 -2.01490301979227 -6.44413119379848 "Cantonese" "Sino-Tibetan" "Sino-Tibetan" "Sino-Tibetan" 0.99047619047619
"14" "Catalan_2.8" "Latin_Romance" 0 15 0 0.333333333333333 891758615 0.362448286654 0.265594715714 0.860540525778 0.375509656593 0.200912690269 1 22 0 1 -23.0258509299405 -1.32578375685639 "Catalan" "Latin_Romance" "Indo_European" "Latin_Romance" 1
"15" "Chinese_2.8" "Sino-Tibetan" 0 15 0 0.8 378191215 0.00565675430458 0.00289307347884 0.00305683894623 0.00249623094801 0.00193711779356 0 18 0 1 -23.0258509299405 -5.84543581990679 "Chinese" "Sino-Tibetan" "Sino-Tibetan" "Sino-Tibetan" 1
"16" "Classical_Chinese_2.8" "Sino-Tibetan" 1 15 0.0666666666666667 0 704706451 0.0202998774356 0.00705694024461 0.104903347522 0.0202478489675 0.00264902203409 0 27 0 1 -2.70805019960221 -4.95374370036321 "Classical Chinese" "Sino-Tibetan" "Sino-Tibetan" "Sino-Tibetan" 1.06666666666667
