CoarseDependency	DH_Weight	DependentPOS	DistanceWeight	FileName	HeadPOS	Language	Language_
nsubj	-4.5175	NOUN	5.13395	7524397	VERB	Buryat_2.8	Buryat
obj	-4.81357	NOUN	0.2967	7524397	VERB	Buryat_2.8	Buryat
nsubj	5.53602	NOUN	0.26466	7794118	VERB	Upper_Sorbian_2.8	Upper_Sorbian
obj	-5.17774	NOUN	0.52318	7794118	VERB	Upper_Sorbian_2.8	Upper_Sorbian
nsubj	4.01665	NOUN	-0.5261	5517265	VERB	Faroese_2.8	Faroese
obj	-3.00514	NOUN	0.11133	5517265	VERB	Faroese_2.8	Faroese
nsubj	-3.74007	NOUN	0.45466	631137	VERB	Greek_2.8	Greek
obj	5.27808	NOUN	0.92022	631137	VERB	Greek_2.8	Greek
nsubj	-4.11121	NOUN	0.85067	3261556	VERB	Hindi_2.8	Hindi
obj	-2.99801	NOUN	3.87653	3261556	VERB	Hindi_2.8	Hindi
nsubj	-5.29784	NOUN	-0.74253	4629817	VERB	Russian_2.8	Russian
obj	-4.73311	NOUN	2.28832	4629817	VERB	Russian_2.8	Russian
nsubj	3.62708	NOUN	-0.35731	1538130	VERB	Wolof_2.8	Wolof
obj	5.5325	NOUN	-0.00177	1538130	VERB	Wolof_2.8	Wolof
nsubj	-0.28048	NOUN	0.48249	3049574	VERB	Italian_2.8	Italian
obj	-0.13096	NOUN	1.22539	3049574	VERB	Italian_2.8	Italian
nsubj	-5.14141	NOUN	1.85403	4229003	VERB	Breton_2.8	Breton
obj	-4.93165	NOUN	0.76467	4229003	VERB	Breton_2.8	Breton
nsubj	0.02545	NOUN	0.07677	5831922	VERB	Catalan_2.8	Catalan
obj	-0.59018	NOUN	1.70683	5831922	VERB	Catalan_2.8	Catalan
nsubj	-3.24814	NOUN	1.7108	7373728	VERB	Classical_Chinese_2.8	Classical_Chinese
obj	6.19051	NOUN	-0.31846	7373728	VERB	Classical_Chinese_2.8	Classical_Chinese
nsubj	-3.47627	NOUN	-0.21112	2201244	VERB	Naija_2.8	Naija
obj	-3.95396	NOUN	0.40194	2201244	VERB	Naija_2.8	Naija
nsubj	-0.05226	NOUN	-0.09987	4925306	VERB	Romanian_2.8	Romanian
obj	0.04494	NOUN	0.41326	4925306	VERB	Romanian_2.8	Romanian
nsubj	1.81077	NOUN	-0.00787	6623971	VERB	Latin_2.8	Latin
obj	-4.59928	NOUN	-0.29116	6623971	VERB	Latin_2.8	Latin
nsubj	-0.21377	NOUN	0.2586	6477685	VERB	Catalan_2.8	Catalan
obj	-0.73643	NOUN	1.9945	6477685	VERB	Catalan_2.8	Catalan
nsubj	3.76746	NOUN	-0.62721	1492753	VERB	Mbya_Guarani_2.8	Mbya_Guarani
obj	4.30046	NOUN	-0.50557	1492753	VERB	Mbya_Guarani_2.8	Mbya_Guarani
nsubj	3.25845	NOUN	-1.04284	8031776	VERB	Romanian_2.8	Romanian
obj	-2.76093	NOUN	1.17468	8031776	VERB	Romanian_2.8	Romanian
nsubj	-4.69717	NOUN	0.33785	4118695	VERB	Belarusian_2.8	Belarusian
obj	-4.70828	NOUN	1.15508	4118695	VERB	Belarusian_2.8	Belarusian
nsubj	-4.8377	NOUN	1.18091	2157339	VERB	Kurmanji_2.8	Kurmanji
obj	-4.77197	NOUN	0.28627	2157339	VERB	Kurmanji_2.8	Kurmanji
nsubj	4.30898	NOUN	-0.50872	8173454	VERB	Danish_2.8	Danish
obj	-4.81931	NOUN	0.27787	8173454	VERB	Danish_2.8	Danish
nsubj	-3.57654	NOUN	0.13644	7207249	VERB	Arabic_2.8	Arabic
obj	6.02113	NOUN	1.10996	7207249	VERB	Arabic_2.8	Arabic
nsubj	-4.84246	NOUN	0.14141	7077278	VERB	Persian_2.8	Persian
obj	4.35393	NOUN	1.63438	7077278	VERB	Persian_2.8	Persian
nsubj	-4.82763	NOUN	0.26218	8964707	VERB	Kurmanji_2.8	Kurmanji
obj	-3.51852	NOUN	0.47962	8964707	VERB	Kurmanji_2.8	Kurmanji
nsubj	0.10071	NOUN	0.44716	5489877	VERB	Korean_2.8	Korean
obj	-0.02508	NOUN	0.23465	5489877	VERB	Korean_2.8	Korean
nsubj	-0.12723	NOUN	0.09493	236530	VERB	Spanish_2.8	Spanish
obj	-0.34563	NOUN	1.32245	236530	VERB	Spanish_2.8	Spanish
nsubj	3.73152	NOUN	1.20642	5245389	VERB	Basque_2.8	Basque
obj	-3.76666	NOUN	0.55514	5245389	VERB	Basque_2.8	Basque
nsubj	0.1741	NOUN	-0.34894	9414148	VERB	Komi_Zyrian_2.8	Komi_Zyrian
obj	-0.18467	NOUN	0.39691	9414148	VERB	Komi_Zyrian_2.8	Komi_Zyrian
nsubj	-3.1959	NOUN	0.80436	6233045	VERB	Sanskrit_2.8	Sanskrit
obj	3.95457	NOUN	1.34354	6233045	VERB	Sanskrit_2.8	Sanskrit
nsubj	1.92237	NOUN	0.32862	8559285	VERB	Latin_2.8	Latin
obj	3.05116	NOUN	1.31069	8559285	VERB	Latin_2.8	Latin
nsubj	-4.4455	NOUN	1.60521	3206414	VERB	Galician_2.8	Galician
obj	6.16638	NOUN	3.03792	3206414	VERB	Galician_2.8	Galician
nsubj	-3.9242	NOUN	1.86037	6699974	VERB	Akkadian_2.8	Akkadian
obj	-6.15788	NOUN	0.6754	6699974	VERB	Akkadian_2.8	Akkadian
nsubj	-1.8619	NOUN	0.77961	5308914	VERB	Kiche_2.8	Kiche
obj	-0.65869	NOUN	-0.25313	5308914	VERB	Kiche_2.8	Kiche
nsubj	-5.24829	NOUN	-0.10649	8219002	VERB	German_2.8	German
obj	-5.41541	NOUN	2.86659	8219002	VERB	German_2.8	German
nsubj	-3.19071	NOUN	0.51394	7103790	VERB	Old_Church_Slavonic_2.8	Old_Church_Slavonic
obj	3.50073	NOUN	-0.0707	7103790	VERB	Old_Church_Slavonic_2.8	Old_Church_Slavonic
nsubj	-4.58644	NOUN	0.08472	8872150	VERB	Belarusian_2.8	Belarusian
obj	-4.86435	NOUN	1.71771	8872150	VERB	Belarusian_2.8	Belarusian
nsubj	-0.14604	NOUN	0.31846	8961901	VERB	Galician_2.8	Galician
obj	-0.07711	NOUN	1.88227	8961901	VERB	Galician_2.8	Galician
nsubj	-0.3168	NOUN	-0.25638	9099323	VERB	Armenian_2.8	Armenian
obj	0.42643	NOUN	0.83264	9099323	VERB	Armenian_2.8	Armenian
nsubj	-3.58368	NOUN	0.17309	6192739	VERB	Sanskrit_2.8	Sanskrit
obj	-4.96051	NOUN	0.16041	6192739	VERB	Sanskrit_2.8	Sanskrit
nsubj	-0.11184	NOUN	-0.29945	7695514	VERB	Akkadian_2.8	Akkadian
obj	1.11539	NOUN	0.10363	7695514	VERB	Akkadian_2.8	Akkadian
nsubj	0.00959	NOUN	-0.14268	3633383	VERB	Akkadian_2.8	Akkadian
obj	0.83616	NOUN	0.09091	3633383	VERB	Akkadian_2.8	Akkadian
nsubj	3.43356	NOUN	0.84624	854221	VERB	Naija_2.8	Naija
obj	4.48145	NOUN	-0.55425	854221	VERB	Naija_2.8	Naija
nsubj	5.48567	NOUN	1.51557	1700207	VERB	Kiche_2.8	Kiche
obj	5.41758	NOUN	-1.76357	1700207	VERB	Kiche_2.8	Kiche
nsubj	-4.62484	NOUN	-0.53368	3939221	VERB	Scottish_Gaelic_2.8	Scottish_Gaelic
obj	0.14447	NOUN	0.34472	3939221	VERB	Scottish_Gaelic_2.8	Scottish_Gaelic
nsubj	-0.11818	NOUN	-0.2675	8095195	VERB	Hebrew_2.8	Hebrew
obj	-0.28601	NOUN	0.42017	8095195	VERB	Hebrew_2.8	Hebrew
