Language	No	Yes
Arabic_2.6	22365	16861
Catalan_2.6	14083	9596
Czech_2.6	73021	27220
Dutch_2.6	12381	4863
Finnish_2.6	19671	6209
French_2.6	31775	15087
German_2.6	107496	99186
Hindi_2.6	14654	4553
Norwegian_2.6	34631	13752
Spanish_2.6	25223	12859
Basque_2.6	5087	2196
Bulgarian_2.6	5510	2461
Croatian_2.6	6804	3242
Estonian_2.6	20361	7709
Hebrew_2.6	5623	1280
Japanese_2.6	30807	7581
Polish_2.6	22341	5406
Romanian_2.6	24510	6146
Slovak_2.6	4683	1281
Slovenian_2.6	4911	1714
Swedish_2.6	10021	4653
Afrikaans_2.6	1056	1152
Chinese_2.6	10953	5910
Danish_2.6	5304	1930
Greek_2.6	1534	873
Hungarian_2.6	1484	678
North_Sami_2.6	2150	693
Persian_2.6	4009	1530
Serbian_2.6	3997	1630
Turkish_2.6	3247	956
Ukrainian_2.6	4518	1648
Vietnamese_2.6	1666	1210
Amharic_2.6	872	382
Armenian_2.6	1669	569
Breton_2.6	296	96
Buryat_2.6	438	119
Cantonese_2.6	587	196
Faroese_2.6	334	69
Kazakh_2.6	577	157
Kurmanji_2.6	433	140
Naija_2.6	8055	2411
Thai_2.6	928	396
Uyghur_2.6	2423	575
Bambara_2.6	1517	327
Erzya_2.6	1039	176
Maltese_2.6	1431	325
Latvian_2.6	11694	2927
Indonesian_2.6	3502	2508
Urdu_2.6	4585	1641
Portuguese_2.6	14839	8371
English_2.6	21064	9531
Italian_2.6	17703	8699
Russian_2.6	52259	13293
Korean_2.6	13112	2725
Ancient_Greek_2.6	18322	5072
Classical_Chinese_2.6	10023	3810
Gothic_2.6	2877	414
Icelandic_2.6	1007	361
Latin_2.6	11300	2607
Lithuanian_2.6	2430	600
Mbya_Guarani_2.6	680	76
Old_Church_Slavonic_2.6	3437	437
Old_French_2.6	12255	2602
Old_Russian_2.6	7931	1546
Sanskrit_2.6	1875	500
Scottish_Gaelic_2.6	3019	402
Welsh_2.6	933	56
Wolof_2.6	3640	654
Yoruba_2.6	590	242
Irish_2.6	3018	582
Coptic_2.6	3396	574
Galician_2.6	3792	2028
Belarusian_2.6	446	192
