Language	SOV	VSO	SVO
Afrikaans_2.6	0.0	0.3333333333333333	0.6666666666666666
Amharic_2.6	0.6	0.2	0.2
Ancient_Greek_2.6	0.5	0.25	0.25
Arabic_2.6	0.1111111111111111	0.5555555555555556	0.3333333333333333
Armenian_2.6	0.125	0.125	0.75
Bambara_2.6	0.3333333333333333	0.08333333333333333	0.5833333333333334
Basque_2.6	0.8333333333333334	0.16666666666666666	0.0
Breton_2.6	0.4	0.6	0.0
Bulgarian_2.6	0.4444444444444444	0.5555555555555556	0.0
Buryat_2.6	0.6	0.4	0.0
Cantonese_2.6	0.25	0.5	0.25
Catalan_2.6	0.25	0.0	0.75
Chinese_2.6	0.5555555555555556	0.2222222222222222	0.2222222222222222
Classical_Chinese_2.6	0.75	0.0	0.25
Coptic_2.6	0.0	0.0	1.0
Croatian_2.6	0.0	1.0	0.0
Danish_2.6	0.2	0.8	0.0
Dutch_2.6	0.14285714285714285	0.0	0.8571428571428571
English_2.6	0.1111111111111111	0.2222222222222222	0.6666666666666666
Erzya_2.6	0.3333333333333333	0.0	0.6666666666666666
Estonian_2.6	0.375	0.5	0.125
Faroese_2.6	0.5714285714285714	0.14285714285714285	0.2857142857142857
Finnish_2.6	0.8333333333333334	0.16666666666666666	0.0
French_2.6	0.0	0.0	1.0
German-GSD_2.6	0.0	0.1111111111111111	0.8888888888888888
Gothic_2.6	0.0	0.0	1.0
Greek_2.6	0.0	0.16666666666666666	0.8333333333333334
Hebrew_2.6	0.0	0.2	0.8
Hindi_2.6	0.16666666666666666	0.5	0.3333333333333333
Hungarian_2.6	0.5555555555555556	0.1111111111111111	0.3333333333333333
Icelandic_2.6	0.16666666666666666	0.16666666666666666	0.6666666666666666
Indonesian_2.6	0.14285714285714285	0.14285714285714285	0.7142857142857143
Irish_2.6	0.25	0.75	0.0
Italian_2.6	0.0	0.75	0.25
Japanese-GSD_2.6	0.8333333333333334	0.16666666666666666	0.0
Kazakh_2.6	0.4	0.0	0.6
Korean_2.6	0.8333333333333334	0.16666666666666666	0.0
Kurmanji_2.6	0.25	0.125	0.625
Latin_2.6	0.0	1.0	0.0
Latvian_2.6	0.16666666666666666	0.16666666666666666	0.6666666666666666
Lithuanian_2.6	0.0	0.6666666666666666	0.3333333333333333
Maltese_2.6	0.0	1.0	0.0
Mbya_Guarani_2.6	0.5	0.4166666666666667	0.08333333333333333
Naija_2.6	0.0	0.4	0.6
North_Sami_2.6	0.25	0.0	0.75
Norwegian_2.6	0.3333333333333333	0.4444444444444444	0.2222222222222222
Old_Church_Slavonic_2.6	0.8333333333333334	0.0	0.16666666666666666
Old_French_2.6	0.5	0.25	0.25
Old_Russian_2.6	0.6666666666666666	0.0	0.3333333333333333
Persian_2.6	0.6	0.0	0.4
Polish_2.6	0.6	0.4	0.0
Portuguese_2.6	0.0	0.7777777777777778	0.2222222222222222
Romanian_2.6	0.4	0.6	0.0
Russian_2.6	0.0	0.0	1.0
Sanskrit_2.6	0.0	0.6	0.4
Scottish_Gaelic_2.6	0.0	1.0	0.0
Serbian_2.6	0.4666666666666667	0.26666666666666666	0.26666666666666666
Slovak_2.6	0.0	0.5	0.5
Slovenian_2.6	0.2	0.6	0.2
Spanish_2.6	0.5	0.0	0.5
Swedish_2.6	0.0	0.0	1.0
Thai_2.6	0.5555555555555556	0.2222222222222222	0.2222222222222222
Turkish_2.6	0.75	0.08333333333333333	0.16666666666666666
Ukrainian_2.6	0.1111111111111111	0.1111111111111111	0.7777777777777778
Urdu_2.6	0.375	0.25	0.375
Uyghur_2.6	1.0	0.0	0.0
Vietnamese_2.6	0.5714285714285714	0.0	0.42857142857142855
Welsh_2.6	0.4	0.4	0.2
Wolof_2.6	0.14285714285714285	0.2857142857142857	0.5714285714285714
Yoruba_2.6	0.1	0.1	0.8
