Language	Fraction	DepLen
Hindi_2.6	0	-3.80366563797
Hindi_2.6	1	-29.6164226532
Hindi_2.6	2	-34.5194664001
Hindi_2.6	3	-36.1808052063
Hindi_2.6	4	-35.9981460571
Hindi_2.6	5	-34.3849601746
Hindi_2.6	6	-31.5444202423
Hindi_2.6	7	-27.3836154938
Hindi_2.6	8	-21.4955825806
Hindi_2.6	9	-13.0335273743
Hindi_2.6	10	3.80366563797
Indonesian_2.6	0	-13.4744272232
Indonesian_2.6	1	-22.9368534088
Indonesian_2.6	2	-25.4422893524
Indonesian_2.6	3	-26.1645145416
Indonesian_2.6	4	-25.5890159607
Indonesian_2.6	5	-23.9229755402
Indonesian_2.6	6	-21.1499519348
Indonesian_2.6	7	-17.0818481445
Indonesian_2.6	8	-11.4123792648
Indonesian_2.6	9	-3.30838036537
Indonesian_2.6	10	13.4744272232
Slovak_2.6	0	3.69787502289
Slovak_2.6	1	-7.46084547043
Slovak_2.6	2	-11.721660614
Slovak_2.6	3	-14.4333496094
Slovak_2.6	4	-16.1880397797
Slovak_2.6	5	-17.1279964447
Slovak_2.6	6	-17.2491168976
Slovak_2.6	7	-16.5040626526
Slovak_2.6	8	-14.832154274
Slovak_2.6	9	-11.7053260803
Slovak_2.6	10	-3.69787502289
Armenian_2.6	0	-0.146762192249
Armenian_2.6	1	-14.5081348419
Armenian_2.6	2	-19.2975578308
Armenian_2.6	3	-21.7205200195
Armenian_2.6	4	-22.8700447083
Armenian_2.6	5	-23.1761856079
Armenian_2.6	6	-22.663312912
Armenian_2.6	7	-21.1561908722
Armenian_2.6	8	-18.2967700958
Armenian_2.6	9	-13.0908098221
Armenian_2.6	10	0.146762192249
Erzya_2.6	0	0.85201472044
Erzya_2.6	1	-6.9719991684
Erzya_2.6	2	-9.89284706116
Erzya_2.6	3	-11.6460599899
Erzya_2.6	4	-12.636472702
Erzya_2.6	5	-12.897693634
Erzya_2.6	6	-12.6477193832
Erzya_2.6	7	-11.6984910965
Erzya_2.6	8	-9.93579387665
Erzya_2.6	9	-7.00438117981
Erzya_2.6	10	-0.85201472044
Welsh_2.6	0	-1.53220593929
Welsh_2.6	1	-14.892786026
Welsh_2.6	2	-18.2227554321
Welsh_2.6	3	-19.7669715881
Welsh_2.6	4	-20.2811698914
Welsh_2.6	5	-19.9774036407
Welsh_2.6	6	-18.880563736
Welsh_2.6	7	-17.1158351898
Welsh_2.6	8	-14.2292537689
Welsh_2.6	9	-9.71433544159
Welsh_2.6	10	1.53220593929
Irish_2.6	0	0.293950498104
Irish_2.6	1	-17.9390201569
Irish_2.6	2	-23.5220909119
Irish_2.6	3	-26.3898181915
Irish_2.6	4	-27.8471641541
Irish_2.6	5	-28.258972168
Irish_2.6	6	-27.6939201355
Irish_2.6	7	-25.9716758728
Irish_2.6	8	-22.8308181763
Irish_2.6	9	-17.4056167603
Irish_2.6	10	-0.293950498104
Maltese_2.6	0	2.84029245377
Maltese_2.6	1	-12.7356557846
Maltese_2.6	2	-17.1979217529
Maltese_2.6	3	-19.2711277008
Maltese_2.6	4	-20.200138092
Maltese_2.6	5	-20.2605857849
Maltese_2.6	6	-19.6327648163
Maltese_2.6	7	-18.293264389
Maltese_2.6	8	-16.0033512115
Maltese_2.6	9	-12.0061779022
Maltese_2.6	10	-2.84029245377
Hebrew_2.6	0	-8.98713874817
Hebrew_2.6	1	-22.7372608185
Hebrew_2.6	2	-26.7953090668
Hebrew_2.6	3	-28.3460025787
Hebrew_2.6	4	-28.3944625854
Hebrew_2.6	5	-27.3322086334
Hebrew_2.6	6	-25.1539611816
Hebrew_2.6	7	-21.6373577118
Hebrew_2.6	8	-16.2711601257
Hebrew_2.6	9	-8.05218315125
Hebrew_2.6	10	8.98713874817
Old_Russian_2.6	0	-3.35113215446
Old_Russian_2.6	1	-15.5978069305
Old_Russian_2.6	2	-18.7193641663
Old_Russian_2.6	3	-20.1801776886
Old_Russian_2.6	4	-20.8135242462
Old_Russian_2.6	5	-20.7195796967
Old_Russian_2.6	6	-19.8721046448
Old_Russian_2.6	7	-18.2261791229
Old_Russian_2.6	8	-15.4351329803
Old_Russian_2.6	9	-10.832285881
Old_Russian_2.6	10	3.35113215446
Breton_2.6	0	2.20051050186
Breton_2.6	1	-8.71393489838
Breton_2.6	2	-12.8813447952
Breton_2.6	3	-15.6492605209
Breton_2.6	4	-16.9365158081
Breton_2.6	5	-17.4567565918
Breton_2.6	6	-17.2991867065
Breton_2.6	7	-16.3742332458
Breton_2.6	8	-14.4391403198
Breton_2.6	9	-10.9787921906
Breton_2.6	10	-2.20051050186
Old_French_2.6	0	7.31735086441
Old_French_2.6	1	-9.415807724
Old_French_2.6	2	-14.3485984802
Old_French_2.6	3	-17.4392261505
Old_French_2.6	4	-19.3769741058
Old_French_2.6	5	-20.3796043396
Old_French_2.6	6	-20.5491733551
Old_French_2.6	7	-20.0781135559
Old_French_2.6	8	-18.608297348
Old_French_2.6	9	-15.6021327972
Old_French_2.6	10	-7.31735086441
Bambara_2.6	0	6.20815658569
Bambara_2.6	1	-1.91639375687
Bambara_2.6	2	-5.34911489487
Bambara_2.6	3	-7.78818321228
Bambara_2.6	4	-9.56474113464
Bambara_2.6	5	-10.8325738907
Bambara_2.6	6	-11.6563930511
Bambara_2.6	7	-12.046128273
Bambara_2.6	8	-11.8767356873
Bambara_2.6	9	-10.8458194733
Bambara_2.6	10	-6.20815658569
Korean_2.6	0	9.88673114777
Korean_2.6	1	-6.13253355026
Korean_2.6	2	-12.8312273026
Korean_2.6	3	-16.8065757751
Korean_2.6	4	-19.2547988892
Korean_2.6	5	-20.6912593842
Korean_2.6	6	-21.3351573944
Korean_2.6	7	-21.1193218231
Korean_2.6	8	-19.8884983063
Korean_2.6	9	-17.1988220215
Korean_2.6	10	-9.88673114777
Scottish_Gaelic_2.6	0	2.05981183052
Scottish_Gaelic_2.6	1	-10.2159433365
Scottish_Gaelic_2.6	2	-14.7547578812
Scottish_Gaelic_2.6	3	-17.3706283569
Scottish_Gaelic_2.6	4	-18.8907337189
Scottish_Gaelic_2.6	5	-19.6901550293
Scottish_Gaelic_2.6	6	-19.7581253052
Scottish_Gaelic_2.6	7	-18.9585399628
Scottish_Gaelic_2.6	8	-16.9908428192
Scottish_Gaelic_2.6	9	-13.0439586639
Scottish_Gaelic_2.6	10	-2.05981183052
Catalan_2.6	0	-25.0116920471
Catalan_2.6	1	-48.5054512024
Catalan_2.6	2	-54.4671173096
Catalan_2.6	3	-56.2905654907
Catalan_2.6	4	-55.5403404236
Catalan_2.6	5	-52.6226730347
Catalan_2.6	6	-47.3818664551
Catalan_2.6	7	-39.4108734131
Catalan_2.6	8	-27.7575874329
Catalan_2.6	9	-10.1679477692
Catalan_2.6	10	25.0116920471
Afrikaans_2.6	0	-8.736120224
Afrikaans_2.6	1	-18.0133171082
Afrikaans_2.6	2	-21.3601665497
Afrikaans_2.6	3	-22.8719043732
Afrikaans_2.6	4	-23.1864929199
Afrikaans_2.6	5	-22.4401855469
Afrikaans_2.6	6	-20.6785163879
Afrikaans_2.6	7	-17.691204071
Afrikaans_2.6	8	-13.2211198807
Afrikaans_2.6	9	-6.43198919296
Afrikaans_2.6	10	8.736120224
French_2.6	0	-14.3584928513
French_2.6	1	-26.5414943695
French_2.6	2	-30.3762931824
French_2.6	3	-31.9158744812
French_2.6	4	-32.0330963135
French_2.6	5	-30.8920822144
French_2.6	6	-28.3926143646
French_2.6	7	-24.2646179199
French_2.6	8	-17.9289360046
French_2.6	9	-7.93323373795
French_2.6	10	14.3584928513
Portuguese_2.6	0	-15.6701793671
Portuguese_2.6	1	-28.1869773865
Portuguese_2.6	2	-31.6863250732
Portuguese_2.6	3	-32.8050041199
Portuguese_2.6	4	-32.3909759521
Portuguese_2.6	5	-30.7135658264
Portuguese_2.6	6	-27.6885662079
Portuguese_2.6	7	-23.0470409393
Portuguese_2.6	8	-16.2035961151
Portuguese_2.6	9	-5.74095106125
Portuguese_2.6	10	15.6701793671
Faroese_2.6	0	-1.0221735239
Faroese_2.6	1	-2.46177315712
Faroese_2.6	2	-3.17211866379
Faroese_2.6	3	-3.60701107979
Faroese_2.6	4	-3.82782292366
Faroese_2.6	5	-3.86371660233
Faroese_2.6	6	-3.71950006485
Faroese_2.6	7	-3.35030627251
Faroese_2.6	8	-2.67345046997
Faroese_2.6	9	-1.5109064579
Faroese_2.6	10	1.0221735239
Latin_2.6	0	5.29017305374
Latin_2.6	1	-18.017364502
Latin_2.6	2	-23.4085121155
Latin_2.6	3	-26.2323589325
Latin_2.6	4	-27.8261585236
Latin_2.6	5	-28.531124115
Latin_2.6	6	-28.4104576111
Latin_2.6	7	-27.3733196259
Latin_2.6	8	-25.2454528809
Latin_2.6	9	-21.4314918518
Latin_2.6	10	-5.29017305374
Croatian_2.6	0	-2.41416788101
Croatian_2.6	1	-20.103099823
Croatian_2.6	2	-24.5684051514
Croatian_2.6	3	-26.4968242645
Croatian_2.6	4	-27.0769748688
Croatian_2.6	5	-26.6617183685
Croatian_2.6	6	-25.2678203583
Croatian_2.6	7	-22.7575588226
Croatian_2.6	8	-18.7329292297
Croatian_2.6	9	-12.3035955429
Croatian_2.6	10	2.41416788101
Cantonese_2.6	0	-3.2102329731
Cantonese_2.6	1	-10.7335758209
Cantonese_2.6	2	-13.1653137207
Cantonese_2.6	3	-14.3133869171
Cantonese_2.6	4	-14.6502408981
Cantonese_2.6	5	-14.3289518356
Cantonese_2.6	6	-13.3495178223
Cantonese_2.6	7	-11.5752830505
Cantonese_2.6	8	-8.92117786407
Cantonese_2.6	9	-4.91006326675
Cantonese_2.6	10	3.2102329731
Turkish_2.6	0	-0.521008908749
Turkish_2.6	1	-12.4476919174
Turkish_2.6	2	-16.2390727997
Turkish_2.6	3	-18.0368270874
Turkish_2.6	4	-18.8846263885
Turkish_2.6	5	-18.9395923615
Turkish_2.6	6	-18.2806892395
Turkish_2.6	7	-16.704750061
Turkish_2.6	8	-14.1160440445
Turkish_2.6	9	-9.79559612274
Turkish_2.6	10	0.521008908749
Ukrainian_2.6	0	1.36409163475
Ukrainian_2.6	1	-11.2651853561
Ukrainian_2.6	2	-15.3326768875
Ukrainian_2.6	3	-17.668838501
Ukrainian_2.6	4	-18.9954967499
Ukrainian_2.6	5	-19.5928058624
Ukrainian_2.6	6	-19.4954471588
Ukrainian_2.6	7	-18.4891433716
Ukrainian_2.6	8	-16.3635025024
Ukrainian_2.6	9	-12.4039411545
Ukrainian_2.6	10	-1.36409163475
Yoruba_2.6	0	-3.54878425598
Yoruba_2.6	1	-14.3432474136
Yoruba_2.6	2	-18.132938385
Yoruba_2.6	3	-19.9384346008
Yoruba_2.6	4	-20.6577110291
Yoruba_2.6	5	-20.4362564087
Yoruba_2.6	6	-19.2517776489
Yoruba_2.6	7	-17.1346588135
Yoruba_2.6	8	-13.7374324799
Yoruba_2.6	9	-8.3764667511
Yoruba_2.6	10	3.54878425598
Norwegian_2.6	0	-4.508664608
Norwegian_2.6	1	-12.083940506
Norwegian_2.6	2	-14.315372467
Norwegian_2.6	3	-15.2468090057
Norwegian_2.6	4	-15.3885364532
Norwegian_2.6	5	-14.8689746857
Norwegian_2.6	6	-13.687379837
Norwegian_2.6	7	-11.7724342346
Norwegian_2.6	8	-8.90950679779
Norwegian_2.6	9	-4.55487966537
Norwegian_2.6	10	4.508664608
Classical_Chinese_2.6	0	4.55240631104
Classical_Chinese_2.6	1	-4.41118335724
Classical_Chinese_2.6	2	-8.70142459869
Classical_Chinese_2.6	3	-11.4711952209
Classical_Chinese_2.6	4	-13.1811933517
Classical_Chinese_2.6	5	-13.9018697739
Classical_Chinese_2.6	6	-13.9018726349
Classical_Chinese_2.6	7	-13.6584234238
Classical_Chinese_2.6	8	-12.3974895477
Classical_Chinese_2.6	9	-10.1793708801
Classical_Chinese_2.6	10	-4.55240631104
Vietnamese_2.6	0	-7.85825490952
Vietnamese_2.6	1	-18.2243919373
Vietnamese_2.6	2	-21.3313694
Vietnamese_2.6	3	-22.5200080872
Vietnamese_2.6	4	-22.4030704498
Vietnamese_2.6	5	-21.152803421
Vietnamese_2.6	6	-18.927652359
Vietnamese_2.6	7	-15.5609283447
Vietnamese_2.6	8	-10.7840623856
Vietnamese_2.6	9	-4.01174545288
Vietnamese_2.6	10	7.85825490952
Thai_2.6	0	-10.7768373489
Thai_2.6	1	-23.0260791779
Thai_2.6	2	-26.7695598602
