Language	Fraction	DepLen	DepLenBest	DepLenBest1	DepLen1	DepLenReal
Russian_2.6	0	-3.85491085052	-3.98204374313	-47.6016426086	-48.8120384216	-43.9602928162
Russian_2.6	1	-5.32667732239	-4.65109157562	-45.9478302002	-47.1137504578	-42.4433860779
Russian_2.6	2	-5.93460798264	-4.83529806137	-42.7104797363	-43.7782249451	-39.4912834167
Russian_2.6	3	-6.20546150208	-4.83529806137	-38.1847801208	-39.1327476501	-35.3898391724
Russian_2.6	4	-6.24458789825	-4.7011885643	-32.4166870117	-33.2009315491	-30.1480941772
Russian_2.6	5	-6.05331659317	-4.50114870071	-25.3800754547	-25.9858188629	-23.715549469
Russian_2.6	6	-5.71512317657	-4.16115570068	-16.9375896454	-17.3218688965	-16.0153846741
Russian_2.6	7	-5.05109500885	-3.5939514637	-6.84628629684	-6.96837520599	-6.78732347488
Russian_2.6	8	-3.86335682869	-2.54200577736	5.38452148438	5.58028745651	4.46351337433
Russian_2.6	9	-1.65448236465	-0.614829421043	20.8779029846	21.4865951538	18.7777824402
Russian_2.6	10	3.85491085052	3.98204374313	47.6016426086	48.8120384216	43.9602928162
Kurmanji_2.6	0	-3.64408063889	-3.09009003639	-43.3033027649	-44.6018486023	-44.3753738403
Kurmanji_2.6	1	-4.87639045715	-3.75075078011	-41.2072067261	-42.4218864441	-42.2132148743
Kurmanji_2.6	2	-5.10759782791	-3.7027027607	-37.8918914795	-38.934551239	-38.7417411804
Kurmanji_2.6	3	-4.97788095474	-3.50450444221	-33.567565918	-34.4130744934	-34.2672691345
Kurmanji_2.6	4	-4.66620016098	-3.18018007278	-28.0180187225	-28.6232700348	-28.5855846405
Kurmanji_2.6	5	-4.09989118576	-2.77177166939	-21.7177181244	-22.043138504	-22.1531524658
Kurmanji_2.6	6	-3.29816865921	-2.17717719078	-14.1681680679	-14.24812603	-14.453453064
Kurmanji_2.6	7	-2.27724957466	-1.43843841553	-4.94894886017	-4.7848072052	-4.99399375916
Kurmanji_2.6	8	-1.05935370922	-0.489489495754	5.80780792236	6.29817247391	6.11111116409
Kurmanji_2.6	9	0.553698658943	0.729729712009	19.6456451416	20.5459899902	20.3453445435
Kurmanji_2.6	10	3.64408063889	3.09009003639	43.3033027649	44.6018486023	44.3753738403
Swedish_2.6	0	-2.19862985611	-2.54626393318	-54.8773651123	-56.2560691833	-52.5933761597
Swedish_2.6	1	-3.88714694977	-3.39951992035	-53.1640510559	-54.4829025269	-50.9702911377
Swedish_2.6	2	-4.66384267807	-3.68860650063	-49.7530250549	-50.9567604065	-47.7419242859
Swedish_2.6	3	-5.08184528351	-3.79643893242	-45.0534172058	-46.0891876221	-43.3111915588
Swedish_2.6	4	-5.25436067581	-3.79643893242	-39.121837616	-39.9600067139	-37.6937065125
Swedish_2.6	5	-5.20413017273	-3.61078333855	-31.9022712708	-32.5211219788	-30.8684597015
Swedish_2.6	6	-4.99782800674	-3.37711310387	-23.2586784363	-23.6113986969	-22.7444229126
Swedish_2.6	7	-4.57128381729	-2.97739315033	-12.8819646835	-12.9050273895	-12.9986991882
Swedish_2.6	8	-3.81173181534	-2.346804142	-0.235570669174	0.125709593296	-0.906672000885
Swedish_2.6	9	-2.30619049072	-1.08122432232	16.4178256989	17.2191352844	15.0427131653
Swedish_2.6	10	2.19862985611	2.54626393318	54.8773651123	56.2560691833	52.5933761597
Uyghur_2.6	0	-0.785623252392	0.329856574535	-30.1607990265	-31.4683761597	-31.2103424072
Uyghur_2.6	1	-2.35321974754	-1.36766624451	-29.1873092651	-30.4508399963	-30.2003479004
Uyghur_2.6	2	-2.95263814926	-2.02303338051	-27.3333339691	-28.4689445496	-28.24467659
Uyghur_2.6	3	-3.22145175934	-2.35853981972	-24.7222938538	-25.6868743896	-25.4928283691
Uyghur_2.6	4	-3.40205073357	-2.55845284462	-21.3576698303	-22.130859375	-21.9717521667
Uyghur_2.6	5	-3.38266825676	-2.62016510963	-17.243806839	-17.808385849	-17.6962184906
Uyghur_2.6	6	-3.19815897942	-2.57235980034	-12.2320728302	-12.5667572021	-12.4923944473
Uyghur_2.6	7	-2.81253933907	-2.37244677544	-6.08170366287	-6.12429380417	-6.11255979538
Uyghur_2.6	8	-2.16810107231	-1.998696208	1.52890050411	1.77974247932	1.72055625916
Uyghur_2.6	9	-1.18888580799	-1.44850063324	11.4593658447	12.1506214142	12.0204257965
Uyghur_2.6	10	0.785623252392	-0.329856574535	30.1607990265	31.4683761597	31.2103424072
Estonian_2.6	0	-1.12511467934	-1.41928708553	-41.0803260803	-42.1129951477	-40.3956832886
Estonian_2.6	1	-2.79455780983	-2.50676894188	-39.8065719604	-40.7991905212	-39.1013641357
Estonian_2.6	2	-3.57949399948	-2.94015073776	-37.271484375	-38.170337677	-36.5463981628
Estonian_2.6	3	-4.02374744415	-3.14013361931	-33.6466026306	-34.4352226257	-32.9322242737
Estonian_2.6	4	-4.22926187515	-3.172093153	-28.9009933472	-29.5434055328	-28.2256011963
Estonian_2.6	5	-4.22845697403	-3.09437918663	-23.0244617462	-23.4989395142	-22.4097328186
Estonian_2.6	6	-4.03240203857	-2.89439630508	-15.9062204361	-16.1855373383	-15.3923397064
Estonian_2.6	7	-3.69188189507	-2.54952454567	-7.23618364334	-7.29426574707	-6.89341115952
Estonian_2.6	8	-3.08689546585	-2.03208804131	3.38886976242	3.59035491943	3.51846456528
Estonian_2.6	9	-2.06082320213	-1.18057572842	16.9366378784	17.4600791931	16.7486076355
Estonian_2.6	10	1.12511467934	1.41928708553	41.0803260803	42.1129951477	40.3956832886
Buryat_2.6	0	0.586039960384	0.742152452469	-24.7713012695	-25.6386985779	-25.4798202515
Buryat_2.6	1	-1.2989730835	-0.975336313248	-23.9417037964	-24.7755565643	-24.6188335419
Buryat_2.6	2	-2.19126033783	-1.68834078312	-22.4573993683	-23.218755722	-23.0762329102
Buryat_2.6	3	-2.75981378555	-2.15470862389	-20.4349784851	-21.1189689636	-20.9955158234
Buryat_2.6	4	-3.05529928207	-2.36098647118	-17.5695075989	-18.1372032166	-18.0448436737
